ɂ́ɟɀʇɽʃ,Hîsyêô,Meaning,Verb,Noun,Modifier,Frequentative,Type,Kokanu,I,Origin,Origin IPA,Family,Word Ref,Group,/a/,/o/,/ə/,/u/,/ɪ/,/i/,/ɛ/,/e/,Syllabary,Actual IPA,Length,Rank
ɽɽʄcı,oûtô,to drive (a vehicle),to drive,a vehicle,driveable,to cruise,Verb,ato,o,German Auto,[ˈʔaʊ̯tʰoː],Germanic,oûtô,Tools 102: Elementary Objects I,1,1,0,1,0,0,0,0,aûtô,/ˈɑ.u.to/,4,01.08.12.02.00
ɽɽʄʌɟ,oûdî,seed,to be a seed,seed,seed-related,,Noun,huwa,o,Fula aawdi,[aːwdi],Nilo-Saharan,oûdî,Biology 101: Plants,1,0,0,1,0,1,0,0,aûdî,/ˈɑ.u.di/,4,01.08.16.06.00
ɽɔɋʃ,okoxu,sky,to be the sky,sky,sky-related,-,Noun,akasa,o,Sanskrit आकाश ākāśa,/ɑː.kɑː.ɕɐ/,Indo-Iranian,okoxu,Geography 102: Basic Environment I,2,0,1,0,0,0,0,0,akaxr,/ˈɑ.kɑ.ʃʌ/,5,01.10.01.15.07
ɽɔ̆ı,okôt,to bear (a burden),to bear/carry/transport,burden/cargo,bearable/carryable/transportable,,Verb,,o,Mansaka akot,/a.kot/,Austronesian,okôt,Phenomenology 101: Fundamental Motion I,1,1,0,0,0,0,0,0,akôt,/ˈɑ.kot/,4,01.10.02.12.00
ɽɔʄʓ,okûlo,to touch (a surface),to touch/contact/feel (physically),a surface,touchable/physical,to fondle/pet,Verb,pa,o,Dholuo akura,/ɑ.kuː.ra/,Nilo-Saharan,okûlo,Phenomenology 102: Fundamental Senses I,2,0,0,1,0,0,0,0,akûla,/ˈɑ.ku.lɑ/,5,01.10.08.23.01
ɽ̑ɐɟɽ́ı,oksîôs,worthy,to be worthy/deserving,merit/deservingness,worthy/deserving,,Adjective,,o,Greek άξιος áxios,/ˈak.si.os/,Hellenic,oksîôs,Evaluation 301: Worldly Evaluations II,1,1,0,0,0,1,0,0,aksîôs,/ˈɑk.si.os/,6,01.10.14.06.02
ɽ̑ɐ̃ʄ,oksûn,meat/muscle,to be meat/muscle,meat/muscle,meat/muscle-related,,Noun,niku,o,Kabyle aksum,/ˈaksum/,Afroasiatic,oksûn,Nutrition 102: Food Groups,1,0,0,1,0,0,0,0,aksûn,/ˈɑk.sun/,5,01.10.14.08.21
ɽ̑ʓʃƶ̃ʃ,oklumun,attack,to be an attack/assault,attack/assault,attack/assault-related,,Noun,,o,Hindi आक्रमण ākramaṇ,[äːk.ɾɐ.mɐ̃ɳ],Indo-Iranian,oklumun,Phenomenology 303: Advanced Motion I,1,0,2,0,0,0,0,0,aklrmrn,/ˈɑk.lʌ.mʌn/,7,01.10.23.07.20
ɽꜿʓ͊,ogolol,to grab/hold (a hold/load),to grab/hold,a hold/load,grabable/holdable,to grapple/wrestle,Verb,akala,o,Spanish agarrar,[a.ɣ̞aˈraɾ],Romance,ogolol,Phenomenology 101: Fundamental Motion I,3,0,0,0,0,0,0,0,agalal,/ˈɑ.gɑ.lɑl/,6,01.11.01.23.01
ɽćı,otôs,hard,to be hard/rigid/stiff,hardness/rigidness/stiffness,hard/rigid/stiff,,Adjective,kijeta,o,Javanese atos,/atos/,Austronesian,otôs,Materials 201: Material Properties,1,1,0,0,0,0,0,0,atôs,/ˈɑ.tos/,4,01.12.02.14.00
